ID	MESSAGE	FREQUENCY	TRIGGER
0	Today's interest income is $#{INT}"	20	true
1	Quack! Your account laid a golden egg today, interest income $#{INT}	10	true
2	A duck that manages its finances well won't have too bad luck. You gained $#{INT}	10	LUCK>LUCKM+0.1
3	The bank just stuffed $#{INT} into your nest	10	true
4	Quack Bank reminds you: Your "Little Yellow Duck" Fund generated a return of $#{INT}	10	true
5	Congratulations! You received $#{INT}	10	true
6	You survived another day! Here's your reward: $#{INT}. Be careful out there, don't lose it	10	true
7	Jeff appreciates your savings habit. He (reluctantly) gave you $#{INT} in interest	10	true
8	How does it feel to make money in your sleep? $#{INT} has been deposited	10	true
9	Quack Bank is happy to inform you that your money laid a few small eggs yesterday: $#{INT}	10	true
10	$#{INT} has been deposited into your bank account	10	true
11	Daily interest reminder: $#{INT}. You work, I send money	10	true
12	In Duckov, only the rich ducks survive longer. Your assets increased by $#{INT}	10	true
13	Ding! You received $#{INT}.	10	true
14	Your Gakcoin investment portfolio has slightly risen. Earnings $#{INT}	10	true
15	Daily login bonus? No, this is the magic of capitalism! $#{INT} has arrived	10	true
16	Another $#{INT} deposited. How far are you from your "small goal" of 100 million?	10	BALANCE<100000000
17	Your little nest egg produced $#{INT}. Hope this helps you stand tall in the Duckov black market	10	true
18	Today's interest of $#{INT} has arrived. Please note: this money was not scavenged, so it's legal this time	10	true
19	Did you hide your money under your feathers last night? Today it hatched $#{INT} in interest. Good job, rich duck.	10	true
20	Your money is breeding. You gained $#{INT} today	10	true
21	You gained $#{INT} in interest. This might be the safest money you'll ever earn in Duckov	10	true
22	Quack Bank sends its congratulations: Your interest income of $#{INT} has successfully caused a slight uplift in the Duckov economy	10	true
23	Forget the missions. Today your passive income is $#{INT}. You can be a duck life winner by just lying around	10	true
24	Your money secretly worked overtime to earn you $#{INT}. Say: "Thank you, money."	10	true
25	Interest income $??? (There's a slight system error today, but don't worry, it's been safely deposited)	10	true
26	Quack Bank noticed you achieved a small goal. +$#{INT}	30	BALANCE+CASH>=100000000
27	It's rainy this morning! But ducks are waterproof... Here's $#{INT} for you	30	(HOD<=1&&WEATHER6==2)||(HOD<=3&&HOD>=2&&WEATHER4==2)
28	Storm Phase 1! Please seek shelter. Use $#{INT} to buy some cola	30	WEATHER==3
29	Storm Phase 2! We heard monsters are wandering outside. Please accept this small interest of $#{INT}	30	WEATHER==3
30	Interest +$#{INT}. You're holding $#{CASH} in cash, why not put it into Quack Bank for some interest?	20	CASH>=20000
31	It seems like you have something good in your backpack... Ahem, take today's interest ($#{INT})	3	BQ>=7&&BQ<9
32	There's treasure on you... Ahem, take today's interest ($#{INT})	3	BQ>=9
33	Wealth is accumulating like duck feathers. Today's interest: $#{INT}.	10	true
34	Your wallet seems fatter than yesterday. That's right, it gained $#{INT}.	10	true
35	Money isn't everything, but you can't do anything without money. Here's $#{INT}, go spend it.	10	true
36	Quack Bank is in a good mood today, so it randomly gave you $#{INT} in interest.	50	RATE>RATEM*1.07
37	The money you spent yesterday has returned to you in another way today: Interest $#{INT}.	10	true
38	Quack Bank is conducting a social experiment, and you are one of the subjects. Experiment subsidy: $#{INT}.	1	true
39	Quack! Quack! Quack! (Translation: Interest $#{INT} has been deposited.)	20	true
40	Your money is growing exponentially. Today it increased by $#{INT}.	10	true
41	Today's interest is $#{INT}. May every day in Duckov be full of surprises.	10	true
42	Your balance sheet looks much better again. Net assets increased by $#{INT}.	10	true
44	The weather is not bad, suitable for scavenging. Interest +$#{INT}	10	WEATHER<=1
45	Your luck seems better than average. Interest +$#{INT}	5	LUCK>LUCKM
46	Current interest rate #{RATE*100}%, average rate #{RATEM*100}%. Interest +$#{INT}	10	true
49	It's #{HOD}:00, and your interest has arrived: $#{INT}	10	true
52	Your bank balance is $#{BALANCE}. Interest +$#{INT}	10	true
53	You have $#{CASH} in cash on you. Interest +$#{INT}	10	true
55	The weather forecast says it will rain later, here's some money for an umbrella: +$#{INT}	20	WEATHER4==2||WEATHER6==2
56	You're truly a hoarder, stashing so much cash. Interest +$#{INT}	50	CASH>100000
57	Your bank balance has exceeded one million! Interest +$#{INT}	50	BALANCE>1000000
58	It's late at night, night owls get paid: +$#{INT}	10	HOD>=22||HOD<=4
59	Today's fortune: Poor, but it doesn't matter, at least there's interest: +$#{INT}	10	LUCK<0.4
60	Rate fluctuation, today's rate is #{RATE*100}%! Interest +$#{INT}	10	true
61	There's treasure in your backpack! Interest +$#{INT}	3	BQ >= 8
62	We heard you've been severely sleep-deprived lately. Pat-pat, here's $#{INT} for you	30	MDIFF<60
63	You only slept #{HDIFF} hours? A healthy duck sleeps 8 hours a day.	40	HDIFF>1&&HDIFF<7
64	Interest +$#{INT}. Quack, Run, Fight, Scavenge	30	MDIFF<60
65	Today's fortune: Good. In addition to the interest of $#{INT:give_luck_money}, Quack Bank will also send a red envelope.	100	LUCK>0.7
