ID	MESSAGE	FREQUENCY	TRIGGER
0	오늘의 이자 수입은 $#{INT}입니다	 20	true
1	꽥꽥! 계좌가 오늘 황금알을 낳았습니다. 이자 수입 $#{INT}	10	true
2	재테크하는 오리는 운이 나쁘지 않죠. $#{INT} 획득!	 10	LUCK>LUCKM+0.1
3	은행이 방금 당신의 둥지에 $#{INT}를 찔러넣었습니다	 10	true
4	꽥꽥 은행 알림: '노란 오리' 펀드에서 $#{INT}의 수익이 발생했습니다	 10	true
5	축하합니다! $#{INT}를 받았습니다	 10	true
6	또 하루 살아남으셨군요! 보상입니다: $#{INT}. 밖에 나갈 땐 잃어버리지 않게 조심하세요	10	true
7	제프가 당신의 저축 습관을 높이 삽니다. 그가 (마지못해) $#{INT}의 이자를 주었습니다	 10	true
8	자면서도 돈 버는 기분, 어떠신가요? $#{INT} 입금 완료	 10	true
9	꽥꽥 은행에서 기쁜 소식을 알려드립니다. 어제 맡기신 돈이 새끼를 쳤네요: $#{INT}	10	true
10	$#{INT}가 당신의 계좌로 입금되었습니다	 10	true
11	일일 이자 알림: $#{INT}. 당신은 일하세요, 전 돈을 드릴 테니	 10	true
12	덕코프에서는 돈 많은 오리가 더 오래 살아남는 법이죠. 자산이 $#{INT} 증가했습니다	 10	true
13	띵동! $#{INT}를 받았습니다.	 10	true
14	당신의 꽥코인 포트폴리오가 소폭 상승했습니다. 수익 $#{INT}	10	true
15	일일 접속 보상이냐고요? 아니죠, 이건 자본주의의 마법입니다! $#{INT} 입금 완료	10	true
16	또 $#{INT}가 들어왔네요. '작은 목표' 달성까지 얼마나 남았죠?	10	BALANCE<100000000
17	비상금이 $#{INT}를 생산했습니다. 덕코프 암시장에서 어깨 좀 펴고 다니시길 바랍니다	10	true
18	오늘의 이자 $#{INT}가 입금되었습니다. 참고로 이 돈은 파밍한 게 아니니, 이번엔 합법적인 수입입니다	 10	true
19	어젯밤에 깃털 밑에 돈을 숨겨뒀나요? 오늘 $#{INT}의 이자를 부화시켰네요. 잘했어요, 부자 오리.	10	true
20	당신의 돈이 번식하고 있습니다. 오늘 $#{INT}가 늘어났네요	10	true
21	$#{INT}의 이자를 획득했습니다. 아마 덕코프에서 평생 번 돈 중 가장 안전한 돈일 겁니다	10	true
22	꽥꽥 은행에서 축전을 보냅니다: 당신의 이자 수입 $#{INT} 덕분에 덕코프 경제가 소폭 상승했습니다	10	true
23	임무 따윈 잊어버리세요. 오늘의 패시브 인컴은 $#{INT}입니다. 누워서 '덕생' 승리자가 될 수도 있다고요	 10	true
24	당신의 돈돈이 몰래 야근해서 $#{INT}를 벌어왔어요. "돈돈아, 고마워." 하고 말해주세요	10	true
25	이자 수입 $??? (오늘 정보 시스템에 약간의 오류가 있었지만, 걱정 마세요. 안전하게 입금되었으니까요)	10	true
26	꽥꽥 은행이 당신이 '작은 목표'를 달성한 것을 확인했습니다. +$#{INT}	30	BALANCE+CASH>=100000000
27	오늘 아침에 비가 오네요! 뭐, 오리는 방수지만... $#{INT} 받아가세요	30	(HOD<=1&&WEATHER6==2)||(HOD<=3&&HOD>=2&&WEATHER4==2)
28	폭풍 1단계! 대피에 유의하세요. $#{INT}로 콜라나 사 드시죠	30	WEATHER==3
29	폭풍 2단계! 밖에 괴물이 돌아다닌다더군요. 이자 $#{INT}, 약소하지만 받아주세요	 30	WEATHER==3
30	이자 +$#{INT}. 현금 $#{CASH}나 들고 계시네요. 꽥꽥 은행에 맡기고 이자나 챙기시는 건 어때요?	20	CASH>=20000
31	가방 안에 좋은 게 좀 있는 것 같네요... 큼큼, 오늘의 이자 ($#{INT})나 잘 챙기세요	3	BQ>=7&&BQ<9
32	몸에 귀한 걸 지니고 계시군요... 큼큼, 오늘의 이자 ($#{INT})나 잘 챙기세요	3	BQ>=9
33	부가 오리 깃털처럼 쌓여가고 있습니다. 오늘의 이자: $#{INT}.	10	true
34	지갑이 어제보다 더 두둑해진 것 같군요. 맞아요, $#{INT}가 늘었거든요.	10	true
35	돈이 전부는 아니지만, 돈 없이는 아무것도 못하죠. $#{INT} 드립니다. 가서 쓰세요.	10	true
36	꽥꽥 은행이 오늘 기분이 좋은가 봅니다. 무작위로 $#{INT}의 이자를 쏩니다.	50	RATE>RATEM*1.07
37	어제 당신이 쓴 돈이 오늘 다른 방식으로 돌아왔습니다. 바로 이자 $#{INT}죠.	10	true
38	꽥꽥 은행에서 사회 실험을 진행 중이며, 당신은 관찰 대상 중 하나입니다. 실험 보조금: $#{INT}.	1	true
39	꽥! 꽥! 꽥! (번역: 이자 $#{INT} 입금 완료.)	20	true
40	당신의 돈이 기하급수적으로 늘어나고 있습니다. 오늘 $#{INT} 증가.	10	true
41	오늘의 이자는 $#{INT}입니다. 덕코프에서의 매일이 놀라움으로 가득하길.	10	true
42	재무상태표가 한결 보기 좋아졌네요. 순자산 $#{INT} 증가.	 10	true
44	날씨가 나쁘지 않네요. '폐지 줍기' 딱 좋은 날입니다. 이자 +$#{INT}	 10	WEATHER<=1
45	운이 평균보다 좋으신 것 같네요. 이자 +$#{INT}	5	LUCK>LUCKM
46	현재 이율 #{RATE*100}%, 평균 이율 #{RATEM*100}%. 이자 +$#{INT}	 10	true
49	현재 시각 #{HOD}시, 이자가 도착했습니다: $#{INT}	 10	true
52	은행 잔고는 $#{BALANCE}입니다. 이자 +$#{INT}	10	true
53	보유 중인 현금은 $#{CASH}입니다. 이자 +$#{INT}	 10	true
55	일기예보에서 곧 비가 온다네요. 우산이라도 사라고 돈 좀 드립니다: +$#{INT}	 20	WEATHER4==2||WEATHER6==2
56	당신은 정말 '햄스터'네요. 현금을 이렇게나 쌓아두다니. 이자 +$#{INT}	50	CASH>100000
57	은행 잔고가 백만을 넘었군요! 이자 +$#{INT}	50	BALANCE>1000000
58	깊은 밤이네요. 올빼미족에게 보너스 지급: +$#{INT}	10	HOD>=22||HOD<=4
59	오늘의 운세: 나쁨. 하지만 괜찮아요, 적어도 이자는 있으니까: +$#{INT}	 10	LUCK<0.2
60	이율 변동! 오늘의 이율은 #{RATE*100}%! 이자 +$#{INT}	10	true
61	가방 안에 보물이 있네요! 이자 +$#{INT}	 3	BQ >= 8
62	요즘 잠이 많이 부족하시다면서요. 토닥토닥, $#{INT} 받아가세요	30	MDIFF<60
63	겨우 #{HDIFF}시간 주무셨다고요? 건강한 오리는 하루 8시간은 잔답니다.	40	HDIFF>1&&HDIFF<7
64	이자 +$#{INT}. 꽥꽥, 런, 전투, 파밍	30	MDIFF<60
