ID	MESSAGE FREQUENCY	TRIGGER
0	本日の利息収入は $#{INT} です	20	true
1	ガー！口座が本日、金の卵を産みました。利息収入 $#{INT} です	10	true
2	資産運用するアヒルの運は悪くありません。$#{INT} を獲得しました	10	LUCK>LUCKM+0.1
3	銀行があなたの巣に $#{INT} をねじ込みました	10	true
4	ガーガー銀行よりお知らせ：お客様の「アヒルちゃんファンド」が $#{INT} の収益を生みました	10	true
5	おめでとうございます！$#{INT} を受け取りました	10	true
6	また一日生き延びましたね！報酬です：$#{INT}。外では気を付けて、失くさないように	10	true
7	ジェフはあなたの貯蓄習慣を評価しています。彼が（しぶしぶ）利息 $#{INT} をくれました	10	true
8	寝ていても稼げる気分はいかがです？ $#{INT} が入金されました	10	true
9	ガーガー銀行より喜んでお知らせします。昨日のお金が、少々のお金を生みました：$#{INT}	10	true
10	$#{INT} が銀行口座に入金されました	10	true
11	日次利息のお知らせ：$#{INT}。あなたが労働し、当行が送金します	10	true
12	ダコフでは、金持ちのアヒルほど長生きできます。あなたの資産が $#{INT} 増加しました	10	true
13	チリン！$#{INT} を受け取りました。	10	true
14	あなたの Gakcoin ポートフォリオがわずかに上昇しました。収益 $#{INT} です	10	true
15	毎日ログインボーナス？いいえ、これは資本主義の魔法です！$#{INT} が入金されました	10	true
16	また $#{INT} が入金されました。「小さな目標」の達成まで、あとどれくらいです？	10	BALANCE<100000000
17	あなたのへそくりが $#{INT} を生み出しました。これでダコフの闇市場でも胸を張って歩けると良いのですが	10	true
18	本日の利息 $#{INT} が入金されました。ご注意ください、このお金は漁ってきたものではないため、今回は合法です	10	true
19	昨晩、お金を羽の下に隠しましたか？本日、$#{INT} の利息が孵りましたよ。やりますね、金持ちアヒルさん。	10	true
20	あなたのお金は繁殖中です。今日は $#{INT} 増えました	10	true
21	$#{INT} の利息を獲得しました。これはあなたがダコフで稼いだ中で、最も安全なお金かもしれませんね	10	true
22	ガーガー銀行より祝電：あなたの利息収入 $#{INT} が、ダコフ経済をわずかながら押し上げました	10	true
23	タスクのことなど忘れましょう。本日の不労所得は $#{INT} です。寝ているだけでも「アヒル生勝ち組」になれますよ	10	true
24	あなたのお金がこっそり残業して $#{INT} を稼いでくれました。「ありがとう、お金さん」と言いましょう	10	true
25	利息収入 $??? (本日、情報システムに若干の不具合が発生しましたが、ご心配なく。お利息は安全に入金済みです)	10	true
26	ガーガー銀行は、あなたが「小さな目標」を達成したことに気づきました。+$#{INT}	30	BALANCE+CASH>=100000000
27	今朝は雨です！でもアヒルは防水ですから… はい、$#{INT} どうぞ	30	(HOD<=1&&WEATHER6==2)||(HOD<=3&&HOD>=2&&WEATHER4==2)
28	嵐 フェーズ1！避難してください。$#{INT} でコーラでもどうぞ	30	WEATHER==3
29	嵐 フェーズ2！外には化け物が徘徊しているとか。$#{INT}、ほんの気持ちです	30	WEATHER==3
30	利息 +$#{INT}。$#{CASH} もの現金を所持しているようですね。ガーガー銀行に預けて利息生活はいかがです？	20	CASH>=20000
31	バックパックに何か良いものが入っているようですね… コホン。本日の利息（$#{INT}）です、どうぞ	3	BQ>=7&&BQ<9
32	お宝をお持ちのようで… コホン。本日の利息（$#{INT}）です、お納めください	3	BQ>=9
33	富がアヒルの羽毛のように積もっていきますね。本日の利息：$#{INT}。	10	true
34	あなたの財布、昨日より膨らんでいませんか？ええ、その通り。$#{INT} 増えました。	10	true
35	お金は万能ではありませんが、お金がなければ何もできません。$#{INT} を差し上げます。どうぞお使いください	10	true
36	ガーガー銀行は本日ご機嫌なようです。ランダムで $#{INT} の利息が送られました	50	RATE>RATEM*1.07
37	昨日あなたが使ったお金が、本日、形を変えて戻ってきました：利息 $#{INT} です。	10	true
38	ガーガー銀行は現在、ある社会実験を行っており、あなたも観察対象のお一人です。実験協力費：$#{INT}。	1	true
39	ガー！ガー！ガー！（翻訳：利息 $#{INT} が入金されました。）	20	true
40	あなたのお金は指数関数的に増加しています。本日は $#{INT} 増加しました	10	true
41	本日の利息は $#{INT} です。ダコフでの日々に、幸多からんことを	10	true
42	あなたのバランスシートが、また少し見栄え良くなりましたね。純資産 $#{INT} 増加です	10	true
44	天気は悪くありません。漁りに出かけるには良い日です。利息 +$#{INT}	10	WEATHER<=1
45	あなたの運は平均より良いようですね。利息 +$#{INT}	5	LUCK>LUCKM
46	現在利率 #{RATE*100}%、平均利率 #{RATEM*100}%。利息 +$#{INT}	10	true
49	現在 #{HOD} 時。利息が入金されました：$#{INT}	10	true
52	あなたの銀行預金は $#{BALANCE} です。利息 +$#{INT}	10	true
53	あなたは $#{CASH} の現金を所持しています。利息 +$#{INT}	10	true
55	天気予報によると、もうすぐ雨が降るそうです。傘代です：+$#{INT}	20	WEATHER4==2||WEATHER6==2
56	あなたは本当にハムスターですね。こんなに現金を溜め込むなんて。利息 +$#{INT}	50	CASH>100000
57	銀行残高が百万を超えました！利息 +$#{INT}	50	BALANCE>1000000
58	只今深夜。夜更かしさんにお小遣いです：+$#{INT}	10	HOD>=22||HOD<=4
59	今日の運勢：凶。でもご心配なく。少なくとも利息はあります：+$#{INT}	10	LUCK<0.2
60	利率変動、本日の利率は（RATE*100)%！利息 +$#{INT}	10	true
61	バックパックにお宝が入っていますね！利息 +$#{INT}	3	BQ >= 8
62	最近、深刻な寝不足だそうですね。よしよし、 $#{INT} をどうぞ	30	MDIFF<60
63	#{HDIFF} 時間しか寝ていないのですか？健康なアヒルは一日8時間寝るものですよ	40	HDIFF>1&&HDIFF<7
64	利息 +$#{INT}。ガーガー、トンズラ、戦闘、漁り	30	MDIFF<60
