ID	MESSAGE	FREQUENCY	TRIGGER
0	今天的利息收入是 $#{INT}	20	true
1	嘎嘎！帳戶今天下了個金蛋，利息收入 $#{INT}	10	true
2	會理財的鴨子運氣不會太差。你獲得了 $#{INT}	10	LUCK>LUCKM+0.1
3	銀行剛剛往你的窩裡塞了 $#{INT}	10	true
4	嘎嘎銀行提醒您：您的「小黃鴨」基金產生了 $#{INT} 的收益	10	true
5	恭喜！你收到了 $#{INT}	10	true
6	你又活過了一天！這是獎勵：$#{INT}。出門小心點，別弄丟了	10	true
7	傑夫欣賞你的儲蓄習慣。他（不情願地）給了你 $#{INT} 利息	10	true
8	睡著也能賺錢的感覺如何？$#{INT} 已存入	10	true
9	嘎嘎銀行很高興地通知您，您昨天的錢生了點小錢：$#{INT}	10	true
10	$#{INT} 已存入您的銀行戶頭	10	true
11	每日利息提醒：$#{INT}。你勞動，我送錢	10	true
12	在鴨科夫，有錢的鴨子才能活得更久。您的資產增值了 $#{INT}	10	true
13	叮！你收到了 $#{INT}。	10	true
14	你的 Gakcoin 投資組合略有上漲。收益 $#{INT}	10	true
15	每日登入獎勵？不，這是資本主義的魔法！$#{INT} 已到帳	10	true
16	又一筆 $#{INT} 進帳了。你離「一個小目標」還有多久？	10	BALANCE<100000000
17	你的小金庫產出 $#{INT} ，希望這能讓你在鴨科夫黑市上挺直腰板	10	true
18	今天的利息 $#{INT} 已到帳。請注意，這筆錢不是搜刮來的，所以這次是合法的	10	true
19	你昨晚把錢藏在羽毛下面了嗎？今天它孵出了 $#{INT} 的利息。幹得不錯，有錢鴨。	10	true
20	你的金錢正在繁殖。今天多了 $#{INT}	10	true
21	你獲得了 $#{INT} 利息。這可能是你這輩子在鴨科夫賺的最安全的一筆錢了	10	true
22	嘎嘎銀行發出賀電：你的利息收入 $#{INT} 已成功讓鴨科夫經濟小幅上漲	10	true
23	忘了任務吧。今天你的被動收入是 $#{INT} 。躺平也能成為鴨生贏家	10	true
24	你的錢錢偷偷加班為你賺了 $#{INT}。快說：「謝謝錢錢。」	10	true
25	利息收入 $??? (今天的資訊系統出了點故障，但不用擔心，它已經被安全地存入啦)	10	true
26	嘎嘎銀行注意到你實現了一個小目標。+$#{INT}	30	BALANCE+CASH>=100000000
27	今天早上有雨！不過鴨子是防水的 ... 給你 $#{INT}	30	(HOD<=1&&WEATHER6==2)||(HOD<=3&&HOD>=2&&WEATHER4==2)
28	風暴 1 階段！請注意避險。用 $#{INT} 買點可樂喝吧	30	WEATHER==3
29	風暴 2 階段！聽說外面會遊蕩著怪物。這點利息 $#{INT} 不成敬意	30	WEATHER==3
30	利息 +$#{INT}。你存著 $#{CASH} 現金，不如放進嘎嘎銀行賺點利息？	20	CASH>=20000
31	你的背包裡好像有好東西 ... 咳咳，拿好今天的利息（$#{INT}）	3	BQ>=7&&BQ<9
32	有寶貝在你身上 ... 咳咳，拿好今天的利息（$#{INT}）	3	BQ>=9
33	財富正在像鴨毛一樣越積越多。今日利息：$#{INT}。	10	true
34	你的錢包似乎比昨天更鼓了。沒錯，多了 $#{INT}。	10	true
35	錢不是萬能的，但沒有錢是萬萬不能的。給你 $#{INT}，拿去花。	10	true
36	嘎嘎銀行今天心情不錯，隨機給你發了 $#{INT} 利息。	50	RATE>RATEM*1.07
37	昨天你花掉的錢，今天以另一種方式回到了你身邊：利息 $#{INT}。	10	true
38	嘎嘎銀行正在進行一項社會實驗，你是觀察對象之一。實驗補貼：$#{INT}。	1	true
39	嘎！嘎！嘎！（翻譯：利息 $#{INT} 已到帳。）	20	true
40	你的錢正在以指數級增長。今天增長了 $#{INT}。	10	true
41	今天的利息是 $#{INT}。願你在鴨科夫的每一天都充滿驚喜。	10	true
42	你的資產負債表又好看了不少。淨資產增加 $#{INT}。	10	true
44	天氣不壞，適合出門撿垃圾。利息 +$#{INT}	10	WEATHER<=1
45	你的運氣似乎比平均水平要好。利息 +$#{INT}	5	LUCK>LUCKM
46	當前利率 #{RATE*100}%，平均利率 #{RATEM*100}%。利息 +$#{INT}	10	true
49	現在是 #{HOD} 點，你的利息到帳了：$#{INT}	10	true
52	你的銀行存款是 $#{BALANCE}。利息 +$#{INT}	10	true
53	你身上有 $#{CASH} 現金。利息 +$#{INT}	10	true
55	天氣預報說待會要下雨，給你點錢買把傘：+$#{INT}	20	WEATHER4==2||WEATHER6==2
56	你真是隻倉鼠，屯了這麼多現金。利息 +$#{INT}	50	CASH>100000
57	你的銀行餘額已經超過一百萬了！利息 +$#{INT}	50	BALANCE>1000000
58	現在是深夜，夜貓子有錢收：+$#{INT}	10	HOD>=22||HOD<=4
59	今日運勢：差，不過沒關係，至少還有利息：+$#{INT}	10	LUCK<0.2
60	利率波動，今天的利率是 #{RATE*100}%！利息 +$#{INT}	10	true
61	你背包裡有寶貝啊！利息 +$#{INT}	3	BQ >= 8
62	聽說你最近睡眠嚴重不足。拍拍，給你 $#{INT}	30	MDIFF<60
63	你只睡了 #{HDIFF} 小時嗎？健康的鴨一天睡 8 小時。	40	HDIFF>1&&HDIFF<7
64	利息 +$#{INT}。嘎嘎、跑路、戰鬥、搜刮	30	MDIFF<60
